hour,samples,avg_latency_ms,min_latency_ms,max_latency_ms,total_signals,total_blocked,order_count,auth_degraded_count
1,12,3.47,2.96,6.14,0,12,0,12
2,12,3.2,2.95,3.44,0,12,0,12
3,12,3.22,3.09,3.4,0,12,0,12
4,12,3.27,3.12,3.6,0,12,0,12
5,12,3.19,2.99,3.37,0,12,0,12
6,12,3.18,2.97,3.29,0,12,0,12
7,12,3.25,3.02,3.43,0,12,0,12
8,12,3.22,3.08,3.42,0,12,0,12
9,12,3.25,2.99,3.53,0,12,0,12
10,12,3.31,3.11,3.48,0,12,0,12
11,12,3.21,3.06,3.37,0,12,0,12
12,12,3.21,3.07,3.37,0,12,0,12
13,12,3.24,3.02,3.5,0,12,0,12
14,12,3.33,3.11,3.6,0,12,0,12
15,12,3.28,3.1,3.56,0,12,0,12
16,12,3.26,3.12,3.37,0,12,0,12
17,12,3.25,3.0,3.46,0,12,0,12
